,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_wnba,birthdate,hometown,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
52,Jonquel Jones,Bosnia & Herzegovina,,New York Liberty,35,PF,C,2-Way Inside-Out Scorer,"6'6""",198,215,97,"6'10""",208,9,"January 5, 1994","Freeport, Bahamas",George Washington,92,89,98,78,87,79,98,95,82,81,80,75,75,96,90,80,74,90,25,30,88,80,93,85,98,70,65,70,76,70,68,76,93,74,40,79,82,70,95,80,75,85,98,93,2934,gold,,,silver,bronze,,gold,silver,silver,silver,,,gold,gold,,,,,,,,,,,,bronze,,silver,silver,,,,silver,,gold,gold,silver,hof,gold,bronze
53,Jordan Horston,United States,,Seattle Storm,23,SF,PF,Versatile Stopper,"6'2""",188,165,74,"6'6""",198,2,"May 21, 2001","Columbus, Ohio",Tennessee,82,70,95,70,63,70,50,70,82,82,89,55,77,95,95,80,50,70,25,25,40,48,49,65,81,66,61,74,81,68,44,83,69,89,96,62,80,88,95,58,56,60,98,84,2599,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,silver,,gold,gold,,,,gold,,,,,,
54,Jordin Canada,United States,,Atlanta Dream,3,PG,,2-Way Playmaking 3PT Threat,"5'6""",168,135,61,"5'9""",175,7,"August 11, 1995","Los Angeles, California",UCLA,83,64,79,68,76,74,50,35,78,90,88,37,72,87,90,80,46,78,25,25,32,37,32,44,95,88,89,88,92,88,85,73,42,84,93,35,87,88,85,43,36,50,80,85,2501,,,silver,,,,,,gold,,,,,,,,gold,silver,,gold,silver,gold,,,silver,gold,gold,,silver,gold,gold,gold,,gold,,,,,,
55,Julie Allemand,Belgium,,Los Angeles Sparks,20,PG,,Playmaking Perimeter Threat,"5'8""",173,147,66,"5'11""",180,9,,"Liege, Belgium",Belgium,75,83,67,84,82,87,94,85,74,82,70,54,72,85,76,80,52,79,25,25,40,50,37,65,95,82,82,85,82,85,74,57,54,69,53,40,65,60,55,41,38,43,40,76,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Julie Vanloo,Belgium,,Los Angeles Sparks,35,SG,SF,Catch & Shoot Threat,"5'8""",173,146,66,"5'11""",180,8,"February 10, 1993",Belgium,Belgium,71,77,58,73,80,87,88,75,70,84,69,33,65,92,64,80,44,73,25,25,30,42,40,44,70,75,73,68,84,68,83,44,33,57,40,27,52,58,40,35,27,43,70,81,2201,,,bronze,,,,,,,,,,,,,,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,
57,Kahleah Copper,United States,,Phoenix Mercury,2,SF,PF,2-Way Inside-Out Shot Creator,"6'1""",185,165,74,"6'5""",196,9,"August 28, 1994","Philadelphia, Pennsylvania",Rutgers,89,87,89,80,81,81,98,95,80,80,86,64,70,85,95,80,64,94,25,25,59,59,59,96,98,76,79,82,79,82,57,69,73,85,40,32,85,84,85,45,36,54,60,89,2701,gold,silver,,silver,gold,,hof,,hof,,gold,,,,,,bronze,,,,,silver,hof,,,,,,silver,,,silver,,bronze,,,,,hof,
58,Kaila Charles,United States,,Golden State Valkyries,3,SG,SF,Crafty Finisher,"6'1""",185,168,76,"6'5""",196,5,"March 23, 1998","Glenn Dale, Maryland",Connecticut,71,69,55,60,75,70,95,60,75,76,74,54,72,82,84,80,46,87,25,25,37,38,38,34,85,67,66,72,75,75,48,60,57,69,42,56,68,70,60,40,25,55,80,76,2300,,,,,,,bronze,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Kalani Brown,United States,,Phoenix Mercury,21,C,,Versatile Defender,"6'7""",201,245,110,"6'11""",211,6,,,Baylor,81,78,87,84,70,62,95,70,77,70,65,84,65,85,90,80,65,82,25,25,75,71,84,69,85,57,58,62,54,62,50,65,71,77,33,74,81,52,70,70,78,61,70,79,2555,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,bronze,,,,,,,,,gold,,
60,Kamilla Cardoso,Brazil,,Chicago Sky,10,C,,2-Way Inside-The-Arc Threat,"6'7""",201,215,97,"6'11""",211,1,"April 30, 2001",,South Carolina,85,71,86,77,40,62,79,80,76,56,63,87,68,90,85,80,61,79,25,25,78,57,87,69,65,42,40,48,41,48,35,69,84,62,36,80,80,59,85,84,86,81,98,95,2496,,,,,,,,,,,silver,,gold,,,,,,,,,,,,,,,silver,bronze,,,,silver,,silver,gold,silver,silver,,
61,Kate Martin,United States,,Golden State Valkyries,20,SG,PG,Catch & Shoot Ace,"6'0""",183,172,77,"6'4""",193,1,"June 5, 2000",,Iowa,72,82,76,79,85,86,93,70,72,71,58,54,61,90,88,80,41,74,25,25,32,43,28,40,60,56,55,58,68,58,43,53,55,58,36,57,56,48,60,45,35,54,80,80,2219,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Katie Lou Samuelson,United States,,Seattle Storm,33,SF,PF,Versatile Defender,"6'3""",191,163,73,"6'7""",201,6,"June 13, 1997","Fullerton, California",Connecticut,73,73,54,74,80,95,60,75,73,72,74,66,64,80,75,80,54,60,25,25,66,66,66,42,79,66,70,74,70,74,41,64,69,74,36,51,70,74,75,44,38,50,25,79,2348,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
63,Kayla McBride,United States,,Minnesota Lynx,21,SG,SF,2-Way 3-Level Shot Creator,"5'11""",180,187,84,"6'3""",191,11,"June 25, 1992","	Erie, Pennsylvania",Notre Dame,88,86,78,77,96,89,98,80,80,82,86,47,65,97,90,90,57,85,25,25,50,54,29,92,98,81,75,92,80,90,66,68,31,82,73,30,83,84,90,36,30,41,60,87,2627,hof,silver,silver,hof,bronze,,silver,,,,,,,,,,,,,,bronze,silver,silver,,gold,,,,,,,,,,,,,,silver,
64,Kayla Thornton,United States,,Golden State Valkyries,5,SF,PF,3 & D Wing,"6'1""",185,190,86,"6'5""",196,11,"October 20, 1992","El Paso, Texas",UTEP,78,71,81,52,85,85,60,60,76,75,83,74,65,88,70,80,54,76,25,25,54,60,64,44,80,60,68,66,68,66,31,75,76,84,63,51,85,84,85,49,52,46,98,79,2488,gold,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,
65,Kelsey Mitchell,United States,,Indiana Fever,0,SG,PG,Shot-Creating 3-Level Threat,"5'8""",173,160,72,"5'11""",180,7,"November 12, 1995","Cincinnati, Ohio",Ohio State,89,86,89,80,93,82,80,90,83,88,79,65,77,95,95,80,64,86,25,25,64,72,64,80,98,77,68,87,84,87,58,56,40,61,41,37,71,74,70,39,40,37,98,86,2646,silver,bronze,hof,,bronze,,gold,,,,silver,,,,,,gold,gold,,,gold,hof,gold,gold,bronze,,,,,,,,,,,,,,,bronze
66,Kelsey Plum,United States,,Los Angeles Sparks,10,PG,SG,Playmaking Inside-Out Scorer,"5'8""",173,145,65,"5'11""",180,8,"August 24, 1994","Poway, California",Washington,89,91,92,83,91,87,98,95,75,86,74,34,68,95,89,80,52,91,25,25,31,30,32,82,98,85,88,88,86,88,77,57,35,73,40,27,75,68,80,34,29,39,90,93,2562,gold,silver,gold,silver,gold,,gold,,,,,,,,,,silver,silver,,silver,silver,gold,silver,gold,silver,,bronze,,,,,silver,,,,,,,gold,
67,Kennedy Burke,United States,,New York Liberty,22,SG,SF,Ball Hawk,"6'1""",185,182,82,"6'5""",196,6,,,UCLA,74,79,81,72,68,71,98,85,68,68,64,57,62,75,70,80,54,76,25,25,44,42,50,69,98,63,74,71,60,71,40,63,60,65,71,58,57,68,65,45,42,47,80,92,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Kia Nurse,Canada,,Chicago Sky,11,SG,SF,3 & D Threat,"6'0""",183,181,81,"6'4""",193,7,"February 22, 1996","Hamilton, Canada",Connecticut,73,77,83,74,80,81,75,70,82,86,85,59,70,98,95,80,55,70,25,25,52,58,44,68,95,66,68,69,83,69,42,57,45,75,40,27,80,54,80,37,32,41,60,80,2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Kiah Stokes,United States,,Las Vegas Aces,41,C,PF,Versatile Defender,"6'3""",191,191,86,"6'7""",201,10,"March 30, 1993","Marion, Iowa",Connecticut,72,59,83,55,50,57,61,45,72,55,55,79,78,75,80,80,46,54,25,25,51,49,59,30,72,35,25,40,40,40,31,72,86,70,42,82,82,62,80,65,47,82,50,78,2155,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,bronze,,,,bronze,,silver,bronze,bronze,silver,,
70,Kierstan Bell,United States,,Las Vegas Aces,1,SF,SG,Perimeter Defender,"6'1""",185,176,79,"6'5""",196,3,"March 16, 2000","Canton, Ohio",Florida Gulf Coast,69,70,76,85,67,83,60,50,74,72,70,66,65,83,80,80,53,74,25,25,57,59,60,44,80,61,68,66,68,66,35,59,66,67,50,60,65,47,55,49,43,54,25,77,2273,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,
71,Laeticia Amihere,Canada,,Golden State Valkyries,3,PF,C,Promising Prospect,"6'3""",191,185,83,"6'7""",201,2,"July 10, 2001","Mississauga, Canada",South Carolina,72,59,73,50,31,59,78,60,69,60,49,68,54,85,88,80,60,67,25,25,78,61,75,62,85,45,37,50,55,50,34,64,65,59,49,65,71,70,70,64,55,72,85,80,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Leonie Fiebich,Germany,,New York Liberty,13,SF,,Catch & Shoot Threat,"6'4""",193,180,81,"6'8""",203,5,"January 10, 2000",Germany,Germany,79,79,73,69,87,77,98,70,68,69,62,65,57,80,60,80,55,68,25,25,57,51,60,60,90,67,75,71,62,71,54,57,66,59,50,40,65,62,60,55,60,49,98,78,2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Lexie Brown,United States,,Seattle Storm,8,SG,SF,Defensive Menace,"5'9""",175,162,73,"6'0""",183,7,"October 27, 1994","Boston, Massachusetts",Duke,73,76,84,60,81,89,60,80,75,79,85,45,65,85,85,80,47,79,25,25,32,43,28,65,80,73,67,75,74,75,73,58,35,82,47,37,65,61,80,37,26,48,60,81,2341,,bronze,,,silver,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,silver,
74,Lexie Hull,United States,,Indiana Fever,10,SF,SG,Versatile Defender,"6'1""",185,155,70,"6'5""",196,3,"September 13, 1999","Spokane, Washington",Stanford,76,76,77,75,86,80,70,65,72,54,68,77,62,80,83,80,53,66,25,25,57,59,68,40,80,42,35,54,37,54,32,70,79,75,43,49,80,81,80,43,44,42,70,79,2311,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze,,,,bronze,,,,,,,bronze
75,Li Yueru,China,,Dallas Wings,28,C,PF,2-Way Stretch Five,"6'7""",201,175,79,"6'11""",211,6,"March 1, 1999","Changzhi, China",China,76,74,72,82,79,88,70,55,72,54,68,77,62,80,83,80,51,66,25,25,57,59,68,40,68,43,35,54,37,54,33,68,84,66,42,52,80,74,75,72,73,70,80,79,2346,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze,,,,bronze,,,,,,,bronze
76,Lindsay Allen,United States,,Connecticut Sun,15,PG,SG,Steady Playmaker,"5'8""",173,145,65,"5'11""",180,8,"March 20, 1995","Mitchellville, Maryland",Notre Dame,78,79,82,73,70,75,98,75,76,79,74,60,72,89,76,80,54,79,25,25,44,57,46,79,73,78,77,80,79,80,74,61,59,75,50,35,72,79,60,36,33,39,98,88,2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Lou Lopez Senechal,Mexico  /  France,France,Dallas Wings,8,SF,SG,3 & D Threat,"6'1""",185,155,70,"6'5""",196,2,"May 12, 1998","Grenoble, France",Connecticut,71,71,61,72,80,85,50,80,72,79,70,40,55,90,90,80,45,69,25,25,40,40,37,65,60,70,70,72,75,72,60,56,54,70,45,35,65,60,65,41,38,43,40,80,2237,,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
78,Maddy Siegrist,United States,,Dallas Wings,20,PF,SF,3-Level Scoring Threat,"6'2""",188,175,79,"6'6""",198,2,"May 22, 2000","Poughkeepsie, New York",Villanova,80,84,88,84,70,82,95,85,69,57,51,53,60,90,95,80,64,85,25,25,68,80,77,82,70,49,45,49,59,49,41,58,63,55,35,53,62,64,75,51,62,39,98,80,2431,bronze,,,,,,bronze,,bronze,,,bronze,,silver,,,,,,,,,,,,,,,,,,,silver,,,,,,,
79,Marina Mabrey,United States,,Connecticut Sun,3,SG,PG,3-Level Scoring Combo Guard,"5'11""",180,170,77,"6'3""",191,6,"September 14, 1996","Belmar, New Jersey",Notre Dame,83,85,84,79,87,73,98,90,74,72,73,60,62,80,88,80,53,88,25,25,43,47,44,75,80,79,84,84,70,84,72,57,44,68,46,45,52,69,75,46,36,56,90,80,2508,,gold,,,silver,,silver,,,,,,,,,,,,,,,,silver,silver,,,,,,,,,,,,,,,,
80,Marine Johannes,France,,New York Liberty,23,PG,SG,Perimeter Threat,"5'10""",178,134,60,"6'2""",188,8,"January 21, 1995","Lisieux, France",France,74,81,64,84,80,85,80,90,76,82,74,58,74,89,76,80,50,75,25,25,44,57,46,55,73,76,78,79,82,79,61,54,59,64,59,35,52,64,45,34,30,38,80,88,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Maya Caldwell,United States,,Atlanta Dream,33,SG,,Mid-Range Specialist,"5'11""",180,160,72,"6'3""",191,4,"December 15, 1998","Charlotte, North Carolina",Georgia,73,77,70,85,69,83,85,70,68,71,67,41,57,90,70,80,50,65,25,25,40,51,68,40,86,63,69,62,67,62,55,53,44,60,51,52,69,54,40,46,52,40,85,79,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,
82,Megan Gustafson,United States,,Las Vegas Aces,17,PF,C,Stretch Four,"6'4""",193,195,88,"6'8""",203,6,"December 13, 1996","Port Wing, Wisconsin",Iowa,76,83,93,80,82,80,90,75,65,60,46,67,58,74,70,80,61,70,25,25,75,68,75,67,80,39,35,42,42,42,35,48,69,44,46,32,62,38,45,61,60,62,80,92,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Michaela Onyenwere,United States,,Chicago Sky,12,PF,SF,Stretch Four,"6'0""",183,178,80,"6'4""",193,4,"August 10, 1999","Aurora, Colorado",UCLA,73,64,70,71,79,58,60,45,71,69,61,68,60,81,80,80,58,72,25,25,64,64,60,74,80,55,55,60,68,60,34,63,74,62,56,62,69,70,45,48,45,50,95,86,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Monique Billings,United States,,Golden State Valkyries,25,PF,SF,Paint Protector,"6'4""",193,192,86,"6'8""",203,7,"May 2, 1996","Riverside, California",UCLA,79,71,87,61,34,78,90,75,75,74,70,59,75,80,89,80,61,78,25,25,69,69,69,78,78,49,54,44,60,44,42,61,75,55,41,57,75,62,60,71,71,71,98,77,2429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Moriah Jefferson,United States,,Chicago Sky,4,PG,,Perimeter Threat,"5'6""",168,130,59,"5'9""",175,9,"March 8, 1994","Dallas, Texas",Connecticut,72,75,80,77,75,78,94,45,74,84,70,60,63,89,75,80,56,77,25,25,50,73,72,50,75,76,71,75,84,75,76,63,51,75,76,42,67,68,60,38,33,42,75,77,2464,,,silver,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,
86,Myisha Hines-Allen,United States,,Dallas Wings,2,PF,SF,Versatile Defender,"6'1""",185,200,90,"6'5""",196,7,"May 30, 1996","Montclair, New Jersey",Louisville,81,72,77,64,81,80,70,60,78,81,69,90,64,80,80,80,65,79,25,25,78,77,70,70,98,57,52,42,75,42,75,62,75,69,49,35,77,72,60,68,55,81,98,78,2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,bronze,bronze,,
87,NaLyssa Smith,United States,,Dallas Wings,1,PF,C,Versatile Defender,"6'4""",193,185,83,"6'8""",203,3,"August 8, 2000","San Antonio, Texas",Baylor,85,77,97,57,74,59,95,82,77,76,69,79,68,80,85,80,69,85,25,25,78,75,83,84,98,55,55,59,70,59,33,69,75,70,42,72,75,68,80,76,68,83,98,85,2646,,,,,,,bronze,bronze,silver,,bronze,bronze,,,,,,,,,,,,,,,gold,silver,,gold,gold,silver,,gold,bronze,gold,gold,,gold,silver
88,Napheesa Collier,United States,,Minnesota Lynx,24,SF,PF,All-Around Star,"6'1""",185,179,81,"6'5""",196,6,"September 23, 1996","Jefferson City, Missouri",Connecticut,98,91,94,94,80,80,98,98,84,78,90,79,74,95,95,80,70,95,25,25,77,80,70,93,98,80,81,88,74,88,70,93,95,91,96,85,90,94,98,86,80,91,80,96,3095,silver,,gold,,,,silver,,gold,,silver,,,,,,,,silver,,,,silver,bronze,,hof,gold,silver,gold,gold,gold,hof,gold,hof,hof,gold,gold,gold,gold,silver
89,Natasha Cloud,United States,,New York Liberty,9,PG,SG,2-Way Perimeter Playmaker,"5'10""",178,160,72,"6'2""",188,10,"February 22, 1992","Broomall, Pennsylvania",Saint Joseph's,83,79,87,78,77,81,70,80,76,84,94,32,70,80,92,80,52,77,25,25,44,56,25,81,80,84,84,83,83,83,86,81,74,93,76,58,90,84,95,43,33,52,40,83,2615,,,,,,,,,,,,,,,,,,silver,,gold,gold,,gold,gold,bronze,silver,silver,,hof,gold,gold,gold,,gold,,,,,,
90,Natasha Howard,United States,,Indiana Fever,6,PF,SF,Switchable Lockdown Defender,"6'2""",188,165,74,"6'6""",198,11,"September 2, 1991","Toledo, Ohio",Florida State,87,77,96,66,58,70,85,85,82,82,88,79,67,88,90,80,66,83,25,25,68,70,75,88,95,65,60,62,76,62,64,81,88,88,63,67,93,70,95,68,59,76,90,88,2764,,,,gold,,,gold,,,silver,gold,,,gold,,,,,,,,,,,,gold,silver,gold,gold,gold,gold,silver,gold,gold,gold,,,gold,,gold
91,Natasha Mack,United States,,Phoenix Mercury,4,PF,C,Versatile Defender,"6'3""",191,182,82,"6'7""",201,4,"November 3, 1997","Lufkin, Texas",,77,70,72,82,76,80,64,45,75,74,70,75,68,79,82,80,48,65,25,25,44,52,52,44,75,57,50,60,66,60,47,72,75,75,56,82,73,72,70,72,64,79,98,79,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,
92,Natisha Hiedeman,United States,,Minnesota Lynx,2,PG,,2-Way Floor General,"5'8""",173,135,61,"5'11""",180,6,"February 10, 1997","Green Bay, Wisconsin",Marquette,75,73,82,55,69,72,98,60,70,83,71,41,68,80,65,80,45,75,25,25,37,32,38,79,50,80,81,83,78,83,76,52,30,81,52,45,60,62,35,43,41,44,98,78,2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Naz Hillmon,United States,,Atlanta Dream,00,PF,C,Paint Protector,"6'2""",188,190,86,"6'6""",198,3,"April 5, 2000","Cleveland, Ohio",Michigan,77,67,81,70,31,86,71,65,71,60,60,80,54,85,75,80,60,73,25,25,67,67,67,80,72,49,37,50,59,50,50,64,72,60,43,55,75,70,70,67,68,65,98,76,2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Nia Coffey,United States,,Atlanta Dream,12,SF,PF,Versatile Defender,"6'1""",185,182,82,"6'5""",196,8,"June 11, 1995","Minneapolis, Minnesota",Northwestern,71,72,77,79,73,79,75,50,77,74,72,70,75,80,85,80,55,55,25,25,51,58,69,79,80,62,60,59,70,59,62,66,69,72,42,77,74,66,60,52,41,62,40,75,2399,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,
95,Nika Muhl,Croatia,,Seattle Storm,1,PG,,Steady Playmaker,"5'11""",180,156,70,"6'3""",191,1,"April 9, 2001",,UConn,71,68,71,68,81,65,80,40,78,82,77,57,67,90,91,80,45,72,25,25,28,34,44,44,87,75,71,74,81,74,76,68,55,76,67,38,79,78,85,41,34,48,40,80,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nneka Ogwumike,United States,,Seattle Storm,3,SF,PF,2-Way Inside-Out Shot Creator,"6'2""",188,174,78,"6'6""",198,13,"July 2, 1990","Tomball, Texas",Stanford,92,92,97,83,88,86,98,98,83,73,86,86,69,88,98,80,75,90,25,25,92,92,92,91,94,75,78,83,65,83,68,87,91,84,96,56,94,90,96,70,60,79,98,94,3046,silver,silver,,gold,,,gold,gold,,gold,gold,gold,gold,gold,,,,,,,,,bronze,,,gold,,,gold,gold,gold,gold,gold,,hof,gold,gold,gold,,gold
97,Nyara Sabally,,,New York Liberty,8,PF,C,Promising Prospect,"6'5""",196,204,92,"6'9""",206,3,"February 26, 2000","Berlin, Germany",Oregon,75,70,80,66,50,77,98,50,73,60,67,68,69,80,88,80,55,75,25,25,53,62,64,55,84,57,60,62,57,62,45,58,64,63,56,55,65,55,45,64,60,68,98,75,2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Olivia Nelson-Ododa,United States,,Connecticut Sun,10,C,PF,Versatile Defender,"6'5""",196,173,78,"6'9""",206,3,"August 17, 2000","Lansing, Michigan",Connecticut,75,68,79,68,70,57,80,55,75,54,68,83,62,85,95,80,54,66,25,25,57,59,68,40,90,41,35,54,37,54,27,76,86,66,49,78,86,84,85,67,75,59,50,79,2370,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze,,,,silver,,silver,,,bronze,,bronze
99,Rachel Banham,United States,,Chicago Sky,24,SG,PG,3PT Shot Creator,"5'10""",178,181,81,"6'2""",188,9,"July 15, 1993","Lakeville, Minnesota",Minnesota,74,75,77,66,83,67,85,70,67,74,70,49,65,70,60,80,46,73,25,25,28,42,32,71,75,76,76,82,70,88,65,52,51,71,38,50,72,43,40,39,31,46,80,78,2268,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Rae Burrell,United States,,Los Angeles Sparks,12,SF,SG,3 & D Threat,"6'2""",188,168,76,"6'6""",198,3,"June 21, 2000",,Tennessee,76,76,80,60,80,83,98,55,75,70,73,70,67,83,80,80,54,70,25,25,68,64,25,76,80,65,68,72,68,72,47,59,62,70,45,56,72,47,60,45,42,48,80,77,2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Rebecca Allen,Australia,,Chicago Sky,9,SG,SF,3 & D Two Guard,"6'2""",188,162,73,"6'6""",198,10,"November 6, 1992","Wangretta, Australia",Australia,75,82,84,71,83,72,98,85,75,66,72,54,69,83,98,80,54,81,25,25,31,52,54,65,98,61,71,68,64,68,33,67,63,82,56,76,64,59,70,49,42,56,60,79,2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,
102,Rebekah Gardner,United States,,New York Liberty,7,SG,SF,3 & D Two Guard,"6'1""",185,130,59,"6'5""",196,13,"July 9, 1990","Palm Springs, California",UCLA,72,67,73,59,79,63,65,65,79,81,77,69,65,84,95,80,56,75,25,25,58,54,69,47,95,66,72,70,81,70,37,72,64,79,75,58,75,85,70,55,62,47,60,83,2491,,,,,,,,,,,,,,,,,,,,,,,bronze,bronze,,bronze,,,,silver,,,,,,,,,,
103,Rhyne Howard,United States,,Atlanta Dream,10,SF,SG,2-Way 3-Level Shot Creator,"6'2""",188,175,79,"6'6""",198,3,"April 29, 2000","Chattanooga, Tennessee",Kentucky,86,84,75,74,83,79,98,95,77,86,80,37,69,95,90,80,55,86,25,25,34,42,42,86,98,80,79,82,86,82,69,74,40,80,93,57,79,88,80,46,36,55,60,88,2633,bronze,silver,silver,gold,silver,,gold,,gold,,bronze,,,,,,silver,,,gold,bronze,silver,,,,,,,,silver,,,,,,,,,silver,
104,Rickea Jackson,United States,,Los Angeles Sparks,2,SF,,3-Level Scoring Threat,"6'2""",188,175,79,"6'6""",198,1,"March 16, 2001",,Tennessee,82,84,92,72,83,77,95,85,80,84,76,72,65,90,90,80,61,89,25,25,57,59,62,80,89,54,35,55,79,55,45,61,68,70,37,45,70,61,75,56,54,58,98,89,2541,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze,,,,bronze,,,,,,,bronze
105,Sabrina Ionescu,United States,,New York Liberty,20,PG,SG,2-Way 3-Level Playmaker,"5'11""",180,165,74,"6'3""",191,5,"December 6, 1997","Walnut Creek, California",Oregon,93,92,91,81,94,90,98,98,84,93,86,69,72,90,98,80,52,86,25,25,30,35,32,89,95,89,90,88,91,88,87,64,42,83,46,40,80,79,80,47,36,57,60,93,2697,hof,hof,silver,gold,hof,,gold,,gold,,,,,,,,gold,silver,,gold,bronze,gold,,,silver,gold,gold,,bronze,gold,gold,gold,,gold,,,,,bronze,
106,Sami Whitcomb,Australia,,Phoenix Mercury,33,SG,PG,3 & D Threat,"5'10""",178,154,69,"6'2""",188,15,"July 20, 1988","Ventura, California",Washington,74,74,74,72,75,83,70,70,77,78,77,57,65,95,85,80,57,76,25,25,42,63,55,78,90,76,79,81,76,81,64,67,57,77,55,55,78,77,70,40,34,45,80,77,2521,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,bronze,,,,,,,,gold,
107,Satou Sabally,United States,,Phoenix Mercury,0,PF,C,2-Way Inside-Out Scorer,"6'4""",193,175,79,"6'8""",203,5,"April 25, 1998","Berlin, Germany",Oregon,92,88,75,76,94,88,98,95,78,76,69,79,68,90,85,80,68,90,25,25,76,74,70,88,98,69,65,69,70,69,74,75,85,70,83,51,70,85,80,73,65,80,90,86,2811,,,,,,,,,silver,,silver,,silver,silver,,,,,,,,,,,,,gold,bronze,,gold,gold,silver,bronze,gold,silver,gold,gold,,gold,silver
108,Shakira Austin,United States,,Washington Mystics,0,C,PF,Inside-Out Board Hunter,"6'5""",196,190,86,"6'9""",206,3,"July 25, 2000","Fredericksburg, Virginia",Mississippi,83,77,88,64,75,67,85,80,78,76,69,84,70,84,80,80,65,81,25,25,74,75,79,75,84,49,47,48,64,48,40,73,75,64,61,82,79,64,85,80,72,87,98,94,2628,,,,gold,,,,,,,,,silver,,,,,,,,,,,,,bronze,,bronze,,,,,,,bronze,silver,silver,silver,,
