,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba
145,Dorian Finney-Smith,United States,,Brooklyn Nets,28,PF,C,2-Way Inside-Out Threat,"6'7""",201,220,99,"7'0""",213,14924167,9,"May 4, 1993","Portsmouth, Virginia",Florida
146,Draymond Green,United States,,Golden State Warriors,23,PF,C,2-Way Stretch Point Four,"6'6""",198,230,104,"7'1""",216,24107143,13,"March 4, 1990","Saginaw, Michigan",Michigan State
147,Drew Eubanks,United States,,Utah Jazz,15,C,,Interior Threat,"6'10""",208,245,110,"7'0""",213,,7,"February 1, 1997","Starkville, Mississippi",Oregon State
148,Drew  Peterson,United States,,Boston Celtics,13,SF,PF,Catch & Shoot Threat,"6'9""",206,205,92,"7'1""",216,,2,"November 9, 1999","Libertyville, illinois",Southern California
149,Dru Smith,United States,,Miami Heat,12,PG,SG,Ball Hawk,"6'2""",188,200,90,"6'6""",198,,4,"December 30, 1997","Evansville, Indiana",Missouri
150,Duane Washington Jr.,Germany,United States,Charlotte Hornets,4,PG,SG,Perimeter Threat,"6'2""",188,197,89,"6'8""",203,,4,"March 24, 2000","Frankfurt, Germany",Ohio State
151,Duncan Robinson,United States,,Miami Heat,55,SG,SF,Catch & Shoot Ace,"6'7""",201,215,97,"7'1""",216,19406000,7,"April 22, 1994","Las Vegas, Nevada",Michigan
152,Duop Reath,Australia,South Sudan,Portland Trail Blazers,26,C,,Stretch Five,"6'9""",206,245,110,"7'1""",216,2048780,7,"June 26, 1996","Perth, Australia",Louisiana State
153,Dwight Powell,Canada,,Dallas Mavericks,7,C,,Inside-Out Scoring Threat,"6'10""",208,240,108,"7'1""",216,4000000,11,"July 20, 1991","Toronto, Canada",Stanford
154,Dyson Daniels,Australia,,Atlanta Hawks,5,PG,SG,2-Way Rim Attacker,"6'7""",201,199,90,"6'11""",211,6059520,3,"March 17, 2003","Bendigo, Australia",NBA G League Ignite
155,Emoni Bates,United States,,Cleveland Cavaliers,21,SF,SG,Perimeter Shot Creator,"6'8""",203,170,77,"6'9""",206,,2,"January 28, 2004","Ann Arbor, Michigan",Eastern Michigan
156,Enrique Freeman,United States,,Indiana Pacers,8,PF,C,Interior Threat,"6'7""",201,214,96,"6'11""",211,,1,"July 29, 2000","Cleveland, Ohio",Akron
157,Eric Gordon,Bahamas,United States,Philadelphia 76ers,23,SG,SF,Perimeter Shot Creator,"6'3""",191,215,97,"6'9""",206,3303771,17,"December 25, 1988","Indianapolis, Indiana",Indiana
158,Evan Mobley,United States,,Cleveland Cavaliers,4,PF,C,Switchable Lockdown Defender,"6'11""",211,215,97,"7'4""",224,11227657,4,"June 18, 2001","San Diego, California",USC
159,Franz Wagner,Germany,,Orlando Magic,22,SF,SG,Rim Attacker,"6'10""",208,220,99,"7'0""",213,7007092,4,"August 27, 2001","Berlin, Germany",Michigan
160,Fred VanVleet,United States,,Houston Rockets,5,PG,,2-Way Playmaking Sharpshooter,"6'0""",183,197,89,"6'2""",188,42846615,9,"February 25, 1994","Rockford, Illinois",Wichita State
161,Gabe Vincent,Nigeria,United States,Los Angeles Lakers,7,PG,SG,Perimeter Threat,"6'2""",188,200,90,"6'7""",201,11000000,7,"June 14, 1996","Modesto, California",UC Santa Barbara
162,Garrett Temple,United States,,Toronto Raptors,17,SG,SF,Perimeter Defender,"6'5""",196,195,88,"6'9""",206,2087519,16,"May 8, 1986","Baton Rouge, Louisiana",LSU
163,Garrison Mathews,United States,,Atlanta Hawks,25,SF,SG,Perimeter Shot Creator,"6'6""",198,215,97,"6'9""",206,2230253,6,"October 24, 1996","Franklin, Tennessee",Lipscomb
164,Gary Harris,United States,,Orlando Magic,14,SG,SF,2-Way 3-Level Shot Creator,"6'4""",193,210,95,"6'7""",201,7500000,11,"September 14, 1994","Fishers, Indiana",Michigan State
165,Gary Payton II,United States,,Golden State Warriors,0,SF,SG,Versatile Stopper,"6'2""",188,195,88,"6'8""",203,9130000,9,"December 1, 1992","Seattle, Washington",Oregon State
166,Gary Trent Jr.,United States,,Milwaukee Bucks,5,SG,SF,Shot-Creating 3-Level Threat,"6'5""",196,209,94,"6'9""",206,,7,"January 18, 1999","Columbus, Ohio",Duke
167,Georges Niang,United States,,Cleveland Cavaliers,20,PF,,Stretch Four,"6'7""",201,230,104,"6'10""",208,8500000,9,"June 17, 1993","Lawrence, Massachusetts",Iowa State
168,Giannis Antetokounmpo,Greece,Nigeria,Milwaukee Bucks,34,PF,C,2-Way Slashing Point Four,"6'11""",211,243,109,"7'4""",224,48787676,12,"December 6, 1994","Athens, Greece",Filathlitikos (Greece)
169,Goga Bitadze,Georgia,,Orlando Magic,35,C,,Board-Hunting Lob Threat,"6'11""",211,250,113,"7'2""",218,9057971,6,"July 20, 1999","Sagarejo, Georgia","Budućnost (Prva A Liga, Montenegro)"
170,Gradey Dick,United States,,Toronto Raptors,1,SG,SF,Inside-Out Shot Creator,"6'6""",198,205,92,"6'9""",206,4763760,2,"November 20, 2003","Wichita, Kansas City",Kansas
171,Grant Williams,United States,,Charlotte Hornets,2,PF,C,Stretch Four,"6'6""",198,236,106,"6'10""",208,13025250,6,"November 30, 1998","Houston, Texas",Tennessee
172,Grayson Allen,United States,,Phoenix Suns,8,SF,SG,Inside-Out Shot Creator,"6'4""",193,198,89,"6'7""",201,15625000,7,"October 8, 1995","Jacksonville, Florida",Duke
173,G.G. Jackson,United States,,Memphis Grizzlies,45,SF,SF,Inside-Out Scoring Threat,"6'9""",206,210,95,"7'0""",213,1891857,2,"December 17, 2004","Columbia, South Carolina",South Carolina
174,Guerschon Yabusele,France,,Philadelphia 76ers,28,PF,C,3-Level Scoring Threat,"6'8""",203,260,117,"7'0""",213,,9,"December 17, 1995","Dreux, France",France
175,Gui Santos,Brazil,,Golden State Warriors,15,PF,SF,Stretch Four,"6'7""",201,185,83,"6'11""",211,1891857,3,"June 22, 2002","Federal District, Brazil","Minas (Novo Basquete Brasil, Brazil)"
176,Harrison Barnes,United States,,San Antonio Spurs,40,SF,PF,Shot-Creating 3-Level Threat,"6'8""",203,225,101,"6'11""",211,18000000,13,"May 30, 1992","Ames, Iowa",UNC
177,Harrison Ingram,United States,,San Antonio Spurs,55,PF,SF,Promising Prospect,"6'7""",201,230,104,"6'11""",211,,1,"November 27, 2002","Dallas, Texas",North Carolina
178,Harry Giles III,United States,,Charlotte Hornets,20,C,PF,Mid-Range Scoring Threat,"6'10""",208,240,108,"7'3""",221,,8,"April 22, 1998","Winston-Salem, North Carolina",Duke
179,Haywood Highsmith,United States,,Miami Heat,24,PF,SF,Stretch Four,"6'5""",196,220,99,"7'0""",213,5200000,7,"December 9, 1996","Baltimore, Maryland",Wheeling
180,Henri Drell,Estonia,,Portland Trail Blazers,0,PF,SF,Promising Prospect,"6'9""",206,220,99,"7'1""",216,,3,"April 25, 2000","Tallinn, Estonia",Estonia
181,Herbert Jones,United States,,New Orleans Pelicans,2,SG,SF,3 & D Two Guard,"6'7""",201,206,93,"7'0""",213,12976362,4,"October 6, 1998","Tuscaloosa, Alabama",Alabama
182,Hunter Tyson,United States,,Denver Nuggets,5,PF,SF,Stretch Four,"6'8""",203,215,97,"6'10""",208,1891857,2,"June 13, 2000","Monroe, North Carolina",Clemson
183,Immanuel Quickley,United States,,Toronto Raptors,5,PG,SG,2-Way Inside-Out Playmaker,"6'2""",188,190,86,"6'8""",203,32500000,5,"June 17, 1999","Havre de Grace, Maryland",Kentucky
184,Isaac Okoro,United States,,Cleveland Cavaliers,35,SF,SG,Versatile Stopper,"6'5""",196,225,101,"6'9""",206,,5,"January 26, 2001","Atlanta, Georgia",Auburn
185,Isaiah Collier,United States,,Utah Jazz,13,PG,SG,Tempo-Pushing Point,"6'4""",193,193,87,"6'8""",203,2512680,1,"October 8, 2004","Atlanta, Georgia",USC
186,Isaiah Hartenstein,Germany,United States,Oklahoma City Thunder,55,C,,Board-Hunting Lob Threat,"7'0""",213,250,113,"7'2""",218,30000000,8,"May 5, 1998","Eugene, Oregon",Žalgiris Kaunas (Lithuania)
187,Isaiah Jackson,United States,,Indiana Pacers,22,C,PF,Board-Hunting Lob Threat,"6'9""",206,205,92,"7'3""",221,4435381,4,"January 10, 2002","Pontiac, Michigan",Kentucky
188,Isaiah Joe,United States,,Oklahoma City Thunder,11,SG,PG,Shot-Creating 3-Level Threat,"6'3""",191,165,74,"6'8""",203,12991650,5,"July 2, 1999","Fort Smith, Arkansas",Arkansas
189,Isaiah Mobley,United States,,Cleveland Cavaliers,15,C,PF,Rebounder,"6'8""",203,238,107,"7'3""",221,,3,"September 24, 1999","San Diego, California",USC
190,Isaiah Stewart,United States,,Detroit Pistons,28,PF,C,3-Level Scoring Threat,"6'8""",203,250,113,"7'4""",224,15000000,5,"May 22, 2001","Rochester, New York",Washington
191,Ivica Zubac,Croatia,,Los Angeles Clippers,40,C,,Paint Beast,"7'0""",213,240,108,"7'4""",224,11743210,9,"March 18, 1997","Mostar, Bosnia and Herzegovina",Croatia
192,Ja Morant,United States,,Memphis Grizzlies,12,PG,,3-Level Playmaking Slasher,"6'2""",188,174,78,"6'7""",201,36725670,6,"August 10, 1999","Dalzell, South Carolina",Murray State
193,Jabari Smith Jr.,United States,,Houston Rockets,10,PF,C,Shot-Creating 3-Level Threat,"6'11""",211,220,99,"7'1""",216,9770880,3,"May 13, 2003","Fayetteville, Georgia",Auburn
194,Jabari Walker,United States,,Portland Trail Blazers,34,PF,SF,Board Hunter,"6'7""",201,200,90,"6'11""",211,2019699,3,"July 30, 2002","Wichita, Kansas",Colorado
195,Jacob Toppin,United States,,New York Knicks,00,PF,SF,Interior Threat,"6'8""",203,200,90,"6'11""",211,,2,"May 8, 2000","Brooklyn, New York",Kentucky
196,Jaden Hardy,United States,,Dallas Mavericks,1,PG,SG,Balanced Offensive Point,"6'3""",191,198,89,"6'9""",206,2019699,3,"July 5, 2002","Detroit, Michigan",Coronado High School
197,Jaden Ivey,United States,,Detroit Pistons,23,SG,PG,Shot-Creating 3-Level Threat,"6'4""",193,195,88,"6'10""",208,7977240,3,"February 13, 2002","South Bend, Indiana",Purdue
198,Jaden McDaniels,United States,,Minnesota Timberwolves,3,SF,PF,Switchable Lockdown Defender,"6'9""",206,185,83,"7'0""",213,23017242,5,"September 29, 2000","Federal Way, Washington",Washington
199,Jaden Springer,United States,,Boston Celtics,44,SG,SF,Ball Hawk,"6'4""",193,202,91,"6'8""",203,4018363,4,"September 25, 2002","Charlotte, North Carolina",Tennessee
200,Jae’Sean Tate,United States,,Houston Rockets,8,SF,PF,Versatile Defender,"6'4""",193,230,104,"6'8""",203,7065217,7,"October 28, 1995","Toledo, Ohio",Ohio State
201,Jaime Jaquez Jr.,United States,,Miami Heat,11,SF,PF,Shot-Creating 3-Level Threat,"6'6""",198,230,104,"6'10""",208,3685800,2,"February 18, 2001","Irvine, California",UCLA
202,Jake LaRavia,United States,,Memphis Grizzlies,3,PF,SF,Stretch Four,"6'7""",201,235,106,"6'10""",208,3352680,3,"November 3, 2001","Pasadena, California",Wake Forest
203,Jakob Poeltl,Austria,,Toronto Raptors,19,C,,Defensive Anchor,"7'0""",213,245,110,"7'3""",221,19500000,9,"October 15, 1995","Vienna, Austria",Utah
204,Ja’Kobe Walter,United States,,Toronto Raptors,14,SF,SG,3 & D Threat,"6'5""",196,180,81,"6'9""",206,3465000,1,"September 4, 2004","McKinney, Texas",Baylor
205,Jalen Brunson,United States,,New York Knicks,11,PG,,Offensive Architect,"6'2""",188,190,86,"6'4""",193,24960001,7,"August 31, 1996","New Brunswick, New Jersey",Villanova
206,Jalen Duren,United States,,Detroit Pistons,0,C,,Board-Hunting Lob Threat,"6'10""",208,250,113,"7'5""",226,4536840,3,"November 18, 2003","New Castle, Delaware",Memphis
207,Jalen Green,United States,Philippines,Houston Rockets,4,SG,PG,3-Level Slasher,"6'4""",193,186,84,"6'8""",203,12483048,4,"February 9, 2002","Merced, California",NBA G League Ignite
208,Jalen Hood-Schifino,United States,,Los Angeles Lakers,0,PG,SG,Steady Playmaker,"6'5""",196,215,97,"6'10""",208,3879840,2,"June 19, 2003","Pittsburgh, Pennsylvania",Indiana
209,Jalen Johnson,United States,,Atlanta Hawks,1,PF,SF,3-Level Scoring Threat,"6'8""",203,219,99,"7'0""",213,4510905,4,"December 18, 2001","Wausau, Wisconsin",Duke
210,Jalen McDaniels,United States,,Sacramento Kings,7,PF,SF,Mid-Range Scoring Threat,"6'9""",206,205,92,"7'0""",213,4741800,6,"January 31, 1998","Federal Way, Washington",San Diego State
211,Jalen Pickett,United States,,Denver Nuggets,24,PG,SG,Steady Playmaker,"6'2""",188,202,91,"6'7""",201,1891857,2,"October 22, 1999","Rochester, New York",Penn State
212,Jalen Smith,United States,,Chicago Bulls,7,C,PF,Inside-Out Board Hunter,"6'9""",206,215,97,"7'2""",218,8571429,5,"March 16, 2000","Portsmouth, Virginia",Maryland Terrapins
213,Jalen Suggs,United States,,Orlando Magic,4,PG,SG,2-Way Inside-Out ISO Creator,"6'5""",196,205,92,"6'6""",198,9188385,4,"June 3, 2001","St. Paul, Minnesota",Gonzaga
214,Jalen Williams,United States,,Oklahoma City Thunder,8,PF,SF,Walking Bucket,"6'5""",196,211,95,"7'2""",218,4775760,3,"April 14, 2001","Denver, Colorado",Santa Clara
215,Jalen Wilson,United States,,Brooklyn Nets,22,SF,PF,Catch & Shoot Threat,"6'6""",198,220,99,"6'8""",203,1891857,2,"November 4, 2000","Arlington, Texas",Kansas
216,Jamal Cain,United States,,New Orleans Pelicans,8,SF,PF,Ball Hawk,"6'7""",201,210,95,"6'11""",211,,3,"March 20, 1999","Pontiac, Michigan",Oakland
217,Jamal Murray,Canada,,Denver Nuggets,27,PG,SG,Offensive Architect,"6'4""",193,215,97,"6'7""",201,36016200,9,"February 23, 1997","Kitchener, Canada",Kentucky
218,Jamal Shead,United States,,Toronto Raptors,23,PG,SG,Mid-Range Shot Creator,"6'1""",185,195,88,"6'5""",196,,1,"July 24, 2002","Austin, Texas",Houston
219,James Harden,United States,,Los Angeles Clippers,1,PG,SG,Playmaking Inside-Out Scorer,"6'5""",196,220,99,"6'11""",211,33653846,16,"August 26, 1989","Los Angeles, California",Arizona State
220,James Johnson,United States,,Indiana Pacers,16,PF,C,Versatile Defender,"6'7""",201,240,108,"7'1""",216,,16,"February 20, 1987","Cheyenne, Wyoming",Wake Forest
221,James Wiseman,United States,,Indiana Pacers,13,C,,Board-Hunting Lob Threat,"6'11""",211,240,108,"7'6""",229,2237691,5,"March 31, 1998","Nashville, Tennessee",Memphis
222,Jarace Walker,United States,,Indiana Pacers,5,PF,C,3-Level Scoring Threat,"6'7""",201,235,106,"7'3""",221,6362520,2,"September 4, 2003","Baltimore, Maryland",Houston
223,Jared Butler,United States,,Washington Wizards,4,PG,,Steady Playmaker,"6'3""",191,193,87,"6'4""",193,2196970,4,"August 25, 2000","Reserve, Louisiana",Baylor
224,Jared McCain,United States,,Philadelphia 76ers,20,SG,SF,Perimeter Shot Creator,"6'3""",191,197,89,"6'7""",201,4020360,1,"February 20, 2004","Sacramento, California",Duke
225,Jared Rhoden,United States,,Toronto Raptors,8,PF,SF,Spot-Up Threat,"6'5""",196,210,95,"6'9""",206,,3,"August 27, 1999","Baldwin, New York",Seton Hall
226,Jaren Jackson Jr.,United States,,Memphis Grizzlies,13,C,PF,2-Way Inside-Out Threat,"6'10""",208,242,109,"7'5""",226,25257798,7,"September 15, 1999","Plainfield, New Jersey",Michigan State
227,Jarred Vanderbilt,United States,,Los Angeles Lakers,2,PF,C,2-Way Interior Threat,"6'8""",203,214,96,"7'1""",216,10714286,7,"April 3, 1999","Houston, Texas",Kentucky
228,Jarrett Allen,United States,,Cleveland Cavaliers,31,C,,Paint Beast,"6'9""",206,243,109,"7'5""",226,20000000,8,"April 21, 1998","San Diego, Texas",Texas
229,Jason Preston,United States,,Utah Jazz,10,PG,SG,3PT Playmaker,"6'3""",191,181,81,"6'9""",206,,4,"August 10, 1999","Orlando, Florida",Ohio
230,Javonte Green,United States,,New Orleans Pelicans,26,PF,SF,Slashing Stretch Four,"6'5""",196,205,92,"7'0""",213,,10,"July 23, 1993","Petersburg, Virginia",Radford
231,Jaxson Hayes,United States,,Los Angeles Lakers,11,C,PF,Interior Threat,"7'0""",213,220,99,"7'4""",224,2463946,6,"May 23, 2000","Norman, Oklahoma",Texas
232,Jay Huff,United States,,Memphis Grizzlies,30,C,,Stretch Five,"7'1""",216,240,108,"7'5""",226,,4,"August 25, 1997","Durham, North Carolina",Virginia
233,Jaylen Brown,United States,,Boston Celtics,7,SF,SG,2-Way Scoring Phenom,"6'6""",198,223,100,"7'0""",213,49700000,9,"October 24, 1996","Marietta, Georgia",California
234,Jaylen Clark,United States,,Minnesota Timberwolves,0,SG,,Defensive Menace,"6'4""",193,205,92,"6'9""",206,,2,"October 13, 2001","Riverside, California",UCLA
235,Jaylen Martin,United States,,Brooklyn Nets,16,SG,SF,Perimeter Defender,"6'6""",198,216,97,"6'10""",208,,2,"January 28, 2004","Tallahassee, Florida",Overtime Elite
236,Jaylen Nowell,United States,,Washington Wizards,20,PG,SG,Inside the Arc Shot Creator,"6'4""",193,201,90,"6'7""",201,,6,"July 9, 1999","Seattle, Washington",Washington
237,Jaylen Wells,United States,,Memphis Grizzlies,0,SF,PF,3PT Shot Creator,"6'8""",203,205,92,"7'0""",213,,1,"August 26, 2003","Sacramento, California",Washington State
238,Jaylin Williams,United States,,Oklahoma City Thunder,6,C,,Stretch Five,"6'9""",206,240,108,"7'1""",216,2019699,3,"June 29, 2002","Fort Smith, Arkansas",Arkansas
239,Jaylon Tyson,United States,,Cleveland Cavaliers,24,SF,PF,Perimeter Shot Creator,"6'7""",201,210,95,"6'11""",211,3326160,1,"December 2, 2002","Plano, Texas",California
240,Jayson Tatum,United States,,Boston Celtics,0,PF,SF,2-Way Scoring Phenom,"6'8""",203,210,95,"6'10""",208,34848340,8,"March 3, 1998","St. Louis, Missouri",Duke
241,JD Davison,United States,,Boston Celtics,20,PG,SG,Rim Attacker,"6'1""",185,195,88,"6'7""",201,,3,"October 3, 2002","Letohatchee, Alabama",Alabama
242,Nate Williams,United States,,Houston Rockets,19,SF,SG,Catch & Shoot Threat,"6'5""",196,205,92,"7'2""",218,,3,"February 12, 1999","Rochester, New York",Buffalo
243,Jeff Dowtin,United States,,Philadelphia 76ers,11,PG,SG,Steady Playmaker,"6'3""",191,177,80,"6'7""",201,,5,"May 10, 1997","Upper Marlboro, Maryland",Rhode Island
244,Jeff Green,United States,,Houston Rockets,32,PF,C,Balanced 2-Way Threat,"6'8""",203,235,106,"7'1""",216,9600000,18,"August 28, 1986","Cheverly, Maryland",Georgetown
245,Jerami Grant,United States,,Portland Trail Blazers,9,SF,PF,2-Way 3-Level Shot Creator,"6'7""",201,210,95,"7'3""",221,29793104,11,"March 12, 1994","Portland, Oregon",Syracuse
246,Jeremiah Robinson-Earl,United States,,New Orleans Pelicans,50,PF,C,Inside-Out Scoring Threat,"6'8""",203,240,108,"6'10""",208,2196970,4,"November 3, 2000","Kansas City, Missouri",Villanova
247,Jeremy Sochan,Poland,United States,San Antonio Spurs,10,PF,PG,Small Ball Four,"6'8""",203,230,104,"7'0""",213,5570040,3,"May 20, 2003","Guymon, Oklahoma",Baylor
248,Jericho Sims,United States,,New York Knicks,20,C,,Interior Scorer,"6'10""",208,250,113,"7'3""",221,2092344,4,"October 20, 1998","Minneapolis, Minnesota",Texas
249,Jermaine Samuels Jr.,United States,,Houston Rockets,00,PF,SF,Rim Rocker,"6'6""",198,230,104,"6'9""",206,,3,"November 13, 1998","Franklin, Massachusetts",Villanova
250,Jett Howard,United States,,Orlando Magic,13,SF,SG,Perimeter Shot Creator,"6'6""",198,215,97,"6'9""",206,5278320,2,"September 14, 2003","Chicago, Illinois",Michigan
251,Jevon Carter,United States,,Chicago Bulls,5,PG,SG,Perimeter Threat,"6'1""",185,200,90,"6'4""",193,6500000,7,"September 14, 1995","Oak Park, Illinois",West Virginia
252,Jimmy Butler,United States,,Miami Heat,22,SF,PF,2-Way Inside-Out Point Forward,"6'7""",201,230,104,"6'8""",203,48798677,14,"September 14, 1989","Houston, Texas",Marquette
253,Jock Landale,Australia,,Houston Rockets,2,C,,Inside the Arc Threat,"6'11""",211,255,115,"7'3""",221,8000000,7,"October 25, 1995","Malvern East, Australia",Australia
254,Joe Ingles,Australia,,Minnesota Timberwolves,7,SF,PF,3 & D Wing,"6'9""",206,220,99,"6'10""",208,2087519,16,"October 2, 1987","Adelaide, Australia",Australia
255,Joel Embiid,Cameroon,United States,Philadelphia 76ers,21,C,,2-Way 3-Level Scorer,"7'0""",213,280,126,"7'5""",226,51415938,11,"March 16, 1994","Yaounde, Cameroon",Kansas
256,John Collins,United States,,Utah Jazz,20,C,PF,Inside-Out Scoring Threat,"6'9""",206,226,102,"6'11""",211,26580000,8,"September 23, 1997","Layton, Utah",Wake Forest
257,John Konchar,United States,,Memphis Grizzlies,46,SG,SF,Perimeter Shot Creator,"6'5""",196,210,95,"6'8""",203,6165000,6,"March 22, 1996","Chicago, Illinois",Fort Wayne
258,Johnny Davis,United States,,Washington Wizards,1,SG,SF,Inside-Out Shot Creator,"6'4""",193,195,88,"6'8""",203,5291160,3,"February 27, 2002","La Crosse, Wisconsin",Wisconsin
259,Johnny Furphy,Australia,,Indiana Pacers,7,PF,SF,Stretch Four,"6'9""",206,210,95,"7'1""",216,,1,"December 7, 2004","Melbourne, Australia",Kansas
260,Johnny Juzang,United States,,Utah Jazz,33,SF,SG,3PT Shot Creator,"6'7""",201,209,94,"6'11""",211,,3,"March 17, 2001","Los Angeles, California",UCLA
261,Jonas Valanciunas,Lithuania,,Washington Wizards,17,C,,Inside The Arc Board Hunter,"6'11""",211,265,119,"7'3""",221,9900000,14,"May 6, 1992","Utena, Lithuania",Lithuania
262,Jonathan Isaac,United States,,Orlando Magic,1,PF,,2-Way Slashing Stretch Four,"6'10""",208,230,104,"7'1""",216,25000000,8,"October 3, 1997","The Bronx, New York",Florida State
263,Jonathan Kuminga,DR Congo,,Golden State Warriors,00,PF,SF,3-Level Scoring Threat,"6'7""",201,225,101,"6'11""",211,7636307,4,"October 6, 2002","Goma, DR Congo",NBA G League Ignite
264,Jonathan Mogbo,United States,,Toronto Raptors,2,PF,C,Interior Threat,"6'8""",203,215,97,"7'0""",213,,1,"October 29, 2001","Wellington, Florida",San Francisco
265,Jordan Clarkson,United States,Philippines,Utah Jazz,00,SG,SF,3-Level Slasher,"6'3""",191,194,87,"6'8""",203,14092577,11,"June 7, 1992","Tampa, Florida",Missouri
266,Jordan Goodwin,United States,,Los Angeles Lakers,12,SG,PG,Steady Combo Guard,"6'4""",193,200,90,"6'10""",208,325590,4,"October 23, 1998","Centreville, Illinois",Saint Louis
267,Jordan Hawkins,United States,,New Orleans Pelicans,24,SG,PG,3PT Shot Creator,"6'5""",196,190,86,"6'7""",201,4525680,2,"April 29, 2002","Gaithersburg, Maryland",UConn
268,Jordan McLaughlin,United States,,Sacramento Kings,3,PG,,3-Level Scoring Threat,"6'0""",183,185,83,"6'5""",196,2087519,7,"April 9, 1996","Pasadena, California",Southern California
269,Jordan Miller,United States,,Los Angeles Clippers,11,SF,SG,Interior Threat,"6'5""",196,194,87,"7'0""",213,,2,"January 23, 2000","Anaheim, California",Miami (Florida)
270,Jordan Poole,United States,,Washington Wizards,13,PG,SG,3-Level Slasher,"6'4""",193,194,87,"6'7""",201,29651786,6,"June 19, 1999","Milwaukee, Wisconsin",Michigan
271,Jordan Walsh,United States,,Boston Celtics,27,PF,SF,Interior Threat,"6'7""",201,205,92,"7'2""",218,1891857,2,"March 3, 2004","Dallas, Texas",Arkansas
272,Jose Alvarado,Puerto Rico,United States,New Orleans Pelicans,15,PG,SG,Defensive Menace,"6'0""",183,179,81,"6'1""",185,1988598,4,"April 12, 1998","Brooklyn, New York",Georgia Tech
273,Josh Christopher,United States,,Miami Heat,8,SG,PG,Inside the Arc Shot Creator,"6'4""",193,215,97,"6'9""",206,,4,"December 8, 2001","Carson, California",Arizona State
274,Josh Giddey,Australia,,Chicago Bulls,3,SG,PG,3-Level Scoring Combo Guard,"6'8""",203,216,97,"6'8""",203,8352367,4,"October 10, 2002","Melbourne, Australia",Australia
275,Josh Green,Australia,,Charlotte Hornets,10,SF,SG,3-Level Scoring Threat,"6'7""",201,200,90,"6'10""",208,12654321,5,"November 16, 2000","Sydney, Australia",Arizona
276,Josh Hart,United States,,New York Knicks,3,PF,SF,2-Way Inside-Out Shot Creator,"6'4""",193,215,97,"6'8""",203,18144000,8,"March 6, 1995","Silver Spring, Maryland",Villanova
277,Josh Minott,United States,Jamaica,Minnesota Timberwolves,8,SF,PF,Interior Threat,"6'8""",203,205,92,"7'0""",213,2019699,3,"November 25, 2002","Boca Raton, Florida",Memphis
278,Josh Okogie,Nigeria,,Phoenix Suns,2,SF,SG,Wing Stopper,"6'4""",193,213,96,"7'0""",213,8250000,7,"September 1, 1998","Lagos, Nigeria",Georgia Tech
279,Josh Richardson,United States,,Miami Heat,0,PG,SG,Defensive Menace,"6'5""",196,200,90,"6'10""",208,3051153,10,"September 15, 1993","Edmond, Oklahoma",Tennessee
280,Jrue Holiday,United States,,Boston Celtics,4,PG,SG,2-Way Inside-Out ISO Creator,"6'5""",196,205,92,"6'7""",201,30000000,16,"June 12, 1990","Chatsworth, California",UCLA
281,J.T. Thor,South Sudan,United States,Cleveland Cavaliers,13,PF,SF,Stretch Four,"6'9""",206,203,91,"7'3""",221,,4,"August 26, 2002","Omaha, Nebraska",Auburn
282,Julian Champagnie,United States,,San Antonio Spurs,30,SF,SG,3 & D Threat,"6'7""",201,217,98,"6'10""",208,3000000,3,"June 29, 2001","Staten Island, New York",St. John's
283,Julian Phillips,United States,,Chicago Bulls,15,SF,PF,Perimeter Defender,"6'8""",203,198,89,"7'0""",213,1891857,2,"November 5, 2003","Killeen, Texas",Tennessee
284,Julian Strawther,Puerto Rico,United States,Denver Nuggets,3,SG,SF,Perimeter Shot Creator,"6'6""",198,205,92,"6'9""",206,2552520,2,"April 18, 2002","Las Vegas, Nevada",Gonzaga
285,Julius Randle,United States,,Minnesota Timberwolves,30,PF,C,Inside the Arc Shot Creator,"6'8""",203,250,113,"7'0""",213,28939680,11,"November 29, 1994","Dallas, Texas",Kentucky
286,Justin Champagnie,United States,,Washington Wizards,9,SF,SG,Rebounder,"6'6""",198,206,93,"6'10""",208,,4,"June 29, 2001","Staten Island, New York",Pittsburgh
287,Justin Minaya,United States,,Portland Trail Blazers,10,SG,SF,Perimeter Defender,"6'5""",196,210,95,"6'9""",206,,3,"March 26, 1999","Harrington Park, New Jersey",Providence
288,Jusuf Nurkic,Bosnia & Herzegovina,,Phoenix Suns,20,C,,2-Way Inside-The-Arc Threat,"7'0""",213,290,131,"7'2""",218,18125000,11,"August 23, 1994","Tuzla, Bosnia and Herzegovina",Bosnia and Herzegovina
289,Kai Jones,Bahamas,,Los Angeles Clippers,23,C,PF,2-Way Interior Threat,"6'11""",211,221,99,"7'2""",218,2087519,4,"January 19, 2001","Nassau, Bahamas",Texas
290,Karl-Anthony Towns,Dominican Republic,United States,New York Knicks,32,PF,C,Inside-Out Scorer,"7'0""",213,248,112,"7'4""",224,49205800,10,"November 15, 1995","Edison, New Jersey",Kentucky
291,Karlo Matkovic,Bosnia & Herzegovina,,New Orleans Pelicans,13,PF,C,Rebounder,"6'10""",208,231,104,"7'2""",218,,3,"March 30, 2001",,Bosnia and Herzegovina
